starttime	seconds	ctime	dtime	ttime	wait
Fri Nov 29 19:02:02 2024	1732878122	0	15	15	3
Fri Nov 29 19:01:58 2024	1732878118	0	15	15	2
Fri Nov 29 19:01:58 2024	1732878118	0	15	15	3
Fri Nov 29 19:01:59 2024	1732878119	0	15	15	3
Fri Nov 29 19:02:02 2024	1732878122	0	15	15	3
Fri Nov 29 19:02:00 2024	1732878120	0	15	15	2
Fri Nov 29 19:02:00 2024	1732878120	1	14	15	2
Fri Nov 29 19:01:56 2024	1732878116	1	14	15	2
Fri Nov 29 19:02:00 2024	1732878120	1	14	15	3
Fri Nov 29 19:01:58 2024	1732878118	0	15	15	3
Fri Nov 29 19:01:58 2024	1732878118	0	15	15	4
Fri Nov 29 19:02:01 2024	1732878121	0	15	15	4
Fri Nov 29 19:02:03 2024	1732878123	1	14	15	2
Fri Nov 29 19:01:59 2024	1732878119	0	15	15	3
Fri Nov 29 19:02:00 2024	1732878120	1	14	15	3
Fri Nov 29 19:01:56 2024	1732878116	1	14	15	3
Fri Nov 29 19:02:06 2024	1732878126	0	15	15	3
Fri Nov 29 19:02:01 2024	1732878121	0	15	15	4
Fri Nov 29 19:02:01 2024	1732878121	0	15	15	3
Fri Nov 29 19:01:59 2024	1732878119	1	14	15	3
Fri Nov 29 19:02:06 2024	1732878126	0	15	15	3
Fri Nov 29 19:01:58 2024	1732878118	0	15	15	3
Fri Nov 29 19:02:02 2024	1732878122	1	14	15	3
Fri Nov 29 19:02:02 2024	1732878122	0	15	15	3
Fri Nov 29 19:01:59 2024	1732878119	1	14	15	2
Fri Nov 29 19:02:01 2024	1732878121	1	14	15	2
Fri Nov 29 19:02:05 2024	1732878125	0	15	15	3
Fri Nov 29 19:02:04 2024	1732878124	1	14	15	2
Fri Nov 29 19:02:00 2024	1732878120	0	15	15	3
Fri Nov 29 19:01:59 2024	1732878119	0	15	15	3
Fri Nov 29 19:01:59 2024	1732878119	0	15	15	4
Fri Nov 29 19:01:59 2024	1732878119	0	15	15	2
Fri Nov 29 19:02:01 2024	1732878121	0	15	15	4
Fri Nov 29 19:01:59 2024	1732878119	0	15	15	3
Fri Nov 29 19:01:56 2024	1732878116	1	14	15	2
Fri Nov 29 19:01:57 2024	1732878117	0	15	15	3
Fri Nov 29 19:01:58 2024	1732878118	0	15	15	4
Fri Nov 29 19:02:05 2024	1732878125	0	15	15	2
Fri Nov 29 19:01:59 2024	1732878119	0	15	15	3
Fri Nov 29 19:02:02 2024	1732878122	1	14	15	1
Fri Nov 29 19:01:59 2024	1732878119	1	14	15	3
Fri Nov 29 19:01:58 2024	1732878118	0	15	15	3
Fri Nov 29 19:01:59 2024	1732878119	0	15	15	3
Fri Nov 29 19:02:05 2024	1732878125	0	15	15	3
Fri Nov 29 19:02:05 2024	1732878125	0	15	15	4
Fri Nov 29 19:02:05 2024	1732878125	0	15	15	3
Fri Nov 29 19:02:01 2024	1732878121	1	14	15	3
Fri Nov 29 19:01:58 2024	1732878118	1	14	15	3
Fri Nov 29 19:01:56 2024	1732878116	0	15	15	2
Fri Nov 29 19:01:56 2024	1732878116	1	14	15	2
Fri Nov 29 19:02:01 2024	1732878121	0	15	15	3
Fri Nov 29 19:02:01 2024	1732878121	0	15	15	2
Fri Nov 29 19:02:01 2024	1732878121	1	15	15	2
Fri Nov 29 19:01:57 2024	1732878117	0	15	15	3
Fri Nov 29 19:02:03 2024	1732878123	0	15	15	3
Fri Nov 29 19:01:57 2024	1732878117	0	15	15	3
Fri Nov 29 19:01:57 2024	1732878117	0	15	15	4
Fri Nov 29 19:02:06 2024	1732878126	1	14	15	2
Fri Nov 29 19:02:00 2024	1732878120	1	14	15	2
Fri Nov 29 19:01:58 2024	1732878118	0	15	15	2
Fri Nov 29 19:02:00 2024	1732878120	0	15	15	4
Fri Nov 29 19:01:58 2024	1732878118	1	14	16	2
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	3
Fri Nov 29 19:01:58 2024	1732878118	0	16	16	3
Fri Nov 29 19:01:58 2024	1732878118	1	15	16	3
Fri Nov 29 19:02:02 2024	1732878122	1	14	16	2
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	3
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	2
Fri Nov 29 19:02:03 2024	1732878123	0	16	16	3
Fri Nov 29 19:02:03 2024	1732878123	0	16	16	4
Fri Nov 29 19:02:01 2024	1732878121	0	16	16	4
Fri Nov 29 19:02:00 2024	1732878120	1	14	16	2
Fri Nov 29 19:02:01 2024	1732878121	1	15	16	3
Fri Nov 29 19:02:01 2024	1732878121	0	16	16	4
Fri Nov 29 19:02:05 2024	1732878125	1	14	16	2
Fri Nov 29 19:02:05 2024	1732878125	0	16	16	4
Fri Nov 29 19:02:06 2024	1732878126	0	16	16	3
Fri Nov 29 19:01:57 2024	1732878117	1	15	16	2
Fri Nov 29 19:02:03 2024	1732878123	0	16	16	3
Fri Nov 29 19:02:04 2024	1732878124	0	16	16	4
Fri Nov 29 19:02:03 2024	1732878123	1	15	16	3
Fri Nov 29 19:02:00 2024	1732878120	0	16	16	3
Fri Nov 29 19:02:00 2024	1732878120	1	14	16	3
Fri Nov 29 19:02:04 2024	1732878124	0	16	16	4
Fri Nov 29 19:02:01 2024	1732878121	0	16	16	3
Fri Nov 29 19:01:59 2024	1732878119	1	15	16	2
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	4
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	2
Fri Nov 29 19:02:04 2024	1732878124	0	16	16	4
Fri Nov 29 19:02:02 2024	1732878122	1	15	16	4
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	3
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	2
Fri Nov 29 19:01:59 2024	1732878119	0	16	16	2
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	4
Fri Nov 29 19:02:05 2024	1732878125	1	14	16	2
Fri Nov 29 19:02:01 2024	1732878121	0	16	16	3
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	2
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	3
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	4
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	4
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	3
Fri Nov 29 19:01:56 2024	1732878116	1	14	16	2
Fri Nov 29 19:01:59 2024	1732878119	0	16	16	4
Fri Nov 29 19:02:05 2024	1732878125	0	16	16	3
Fri Nov 29 19:02:00 2024	1732878120	1	15	16	2
Fri Nov 29 19:02:02 2024	1732878122	1	15	16	2
Fri Nov 29 19:01:58 2024	1732878118	0	16	16	3
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	2
Fri Nov 29 19:02:03 2024	1732878123	0	16	16	4
Fri Nov 29 19:02:01 2024	1732878121	0	16	16	4
Fri Nov 29 19:02:00 2024	1732878120	1	15	16	4
Fri Nov 29 19:02:03 2024	1732878123	0	16	16	2
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	2
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	2
Fri Nov 29 19:02:04 2024	1732878124	0	16	16	4
Fri Nov 29 19:02:05 2024	1732878125	0	16	16	4
Fri Nov 29 19:02:01 2024	1732878121	1	15	16	3
Fri Nov 29 19:02:04 2024	1732878124	1	15	16	2
Fri Nov 29 19:02:01 2024	1732878121	0	16	16	3
Fri Nov 29 19:02:00 2024	1732878120	0	16	16	3
Fri Nov 29 19:02:04 2024	1732878124	0	16	16	3
Fri Nov 29 19:02:05 2024	1732878125	0	16	16	3
Fri Nov 29 19:02:05 2024	1732878125	0	16	16	3
Fri Nov 29 19:02:05 2024	1732878125	0	16	16	3
Fri Nov 29 19:02:05 2024	1732878125	1	15	16	3
Fri Nov 29 19:01:59 2024	1732878119	1	15	16	4
Fri Nov 29 19:01:59 2024	1732878119	0	16	16	4
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	4
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	4
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	4
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	5
Fri Nov 29 19:01:56 2024	1732878116	0	16	16	3
Fri Nov 29 19:02:02 2024	1732878122	1	15	16	2
Fri Nov 29 19:01:58 2024	1732878118	0	16	16	2
Fri Nov 29 19:02:04 2024	1732878124	0	16	16	4
Fri Nov 29 19:01:59 2024	1732878119	0	16	16	3
Fri Nov 29 19:01:59 2024	1732878119	0	16	16	5
Fri Nov 29 19:02:03 2024	1732878123	0	16	16	2
Fri Nov 29 19:01:58 2024	1732878118	0	16	16	3
Fri Nov 29 19:01:59 2024	1732878119	0	16	16	3
Fri Nov 29 19:01:59 2024	1732878119	1	15	16	2
Fri Nov 29 19:01:59 2024	1732878119	0	16	16	3
Fri Nov 29 19:01:57 2024	1732878117	1	15	16	2
Fri Nov 29 19:02:02 2024	1732878122	1	15	16	2
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	2
Fri Nov 29 19:01:59 2024	1732878119	1	15	16	3
Fri Nov 29 19:02:02 2024	1732878122	1	15	16	2
Fri Nov 29 19:02:05 2024	1732878125	0	16	16	3
Fri Nov 29 19:02:05 2024	1732878125	0	16	16	2
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	4
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	3
Fri Nov 29 19:02:06 2024	1732878126	0	16	16	3
Fri Nov 29 19:02:04 2024	1732878124	0	16	16	4
Fri Nov 29 19:02:04 2024	1732878124	0	16	16	3
Fri Nov 29 19:02:03 2024	1732878123	1	15	16	2
Fri Nov 29 19:01:58 2024	1732878118	1	15	16	2
Fri Nov 29 19:02:03 2024	1732878123	1	15	16	2
Fri Nov 29 19:02:01 2024	1732878121	0	16	16	2
Fri Nov 29 19:02:01 2024	1732878121	0	16	16	3
Fri Nov 29 19:02:06 2024	1732878126	1	15	16	2
Fri Nov 29 19:02:00 2024	1732878120	0	16	16	2
Fri Nov 29 19:02:02 2024	1732878122	1	15	16	2
Fri Nov 29 19:02:00 2024	1732878120	1	15	16	2
Fri Nov 29 19:02:00 2024	1732878120	0	16	16	4
Fri Nov 29 19:02:00 2024	1732878120	0	16	16	3
Fri Nov 29 19:01:59 2024	1732878119	1	15	16	2
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	3
Fri Nov 29 19:01:57 2024	1732878117	1	15	16	3
Fri Nov 29 19:02:03 2024	1732878123	1	15	16	3
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	3
Fri Nov 29 19:01:58 2024	1732878118	0	16	16	4
Fri Nov 29 19:02:04 2024	1732878124	0	16	16	2
Fri Nov 29 19:01:56 2024	1732878116	1	15	16	2
Fri Nov 29 19:01:57 2024	1732878117	1	15	16	3
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	2
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	2
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	3
Fri Nov 29 19:02:00 2024	1732878120	1	15	16	2
Fri Nov 29 19:02:02 2024	1732878122	1	15	16	1
Fri Nov 29 19:02:04 2024	1732878124	1	15	16	3
Fri Nov 29 19:02:01 2024	1732878121	0	16	16	2
Fri Nov 29 19:02:03 2024	1732878123	0	16	16	3
Fri Nov 29 19:01:57 2024	1732878117	1	15	16	2
Fri Nov 29 19:02:01 2024	1732878121	1	15	16	2
Fri Nov 29 19:02:04 2024	1732878124	0	16	16	3
Fri Nov 29 19:01:56 2024	1732878116	0	16	16	2
Fri Nov 29 19:02:03 2024	1732878123	1	15	16	2
Fri Nov 29 19:02:03 2024	1732878123	1	15	16	2
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	2
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	4
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	4
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	2
Fri Nov 29 19:01:57 2024	1732878117	1	15	16	3
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	3
Fri Nov 29 19:01:59 2024	1732878119	1	15	16	3
Fri Nov 29 19:01:59 2024	1732878119	0	16	16	3
Fri Nov 29 19:02:03 2024	1732878123	0	16	16	3
Fri Nov 29 19:02:03 2024	1732878123	0	16	16	4
Fri Nov 29 19:02:00 2024	1732878120	0	16	16	3
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	5
Fri Nov 29 19:02:01 2024	1732878121	0	16	16	3
Fri Nov 29 19:02:01 2024	1732878121	0	16	16	4
Fri Nov 29 19:01:59 2024	1732878119	1	15	16	2
Fri Nov 29 19:02:03 2024	1732878123	1	15	16	2
Fri Nov 29 19:02:00 2024	1732878120	0	16	16	4
Fri Nov 29 19:02:00 2024	1732878120	0	16	16	3
Fri Nov 29 19:02:04 2024	1732878124	0	16	16	2
Fri Nov 29 19:02:04 2024	1732878124	0	16	16	3
Fri Nov 29 19:01:59 2024	1732878119	0	16	16	2
Fri Nov 29 19:01:59 2024	1732878119	0	16	16	3
Fri Nov 29 19:02:01 2024	1732878121	0	16	16	2
Fri Nov 29 19:02:01 2024	1732878121	0	16	16	3
Fri Nov 29 19:02:01 2024	1732878121	0	16	16	5
Fri Nov 29 19:02:01 2024	1732878121	0	16	16	2
Fri Nov 29 19:02:03 2024	1732878123	0	16	16	2
Fri Nov 29 19:02:01 2024	1732878121	0	16	16	2
Fri Nov 29 19:02:06 2024	1732878126	0	16	16	3
Fri Nov 29 19:02:05 2024	1732878125	0	16	16	3
Fri Nov 29 19:01:58 2024	1732878118	0	16	16	2
Fri Nov 29 19:02:01 2024	1732878121	1	15	16	2
Fri Nov 29 19:02:04 2024	1732878124	0	16	16	4
Fri Nov 29 19:02:03 2024	1732878123	1	15	16	2
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	3
Fri Nov 29 19:02:04 2024	1732878124	0	16	16	3
Fri Nov 29 19:02:05 2024	1732878125	1	15	16	2
Fri Nov 29 19:02:05 2024	1732878125	0	16	16	2
Fri Nov 29 19:02:05 2024	1732878125	0	16	16	1
Fri Nov 29 19:01:59 2024	1732878119	0	16	16	2
Fri Nov 29 19:02:05 2024	1732878125	0	16	16	4
Fri Nov 29 19:02:00 2024	1732878120	1	15	16	3
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	2
Fri Nov 29 19:02:06 2024	1732878126	0	16	16	3
Fri Nov 29 19:02:06 2024	1732878126	0	16	16	2
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	2
Fri Nov 29 19:02:03 2024	1732878123	0	16	16	3
Fri Nov 29 19:01:59 2024	1732878119	0	16	16	1
Fri Nov 29 19:02:03 2024	1732878123	0	16	16	3
Fri Nov 29 19:02:05 2024	1732878125	1	15	16	3
Fri Nov 29 19:01:59 2024	1732878119	0	16	16	2
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	2
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	2
Fri Nov 29 19:01:58 2024	1732878118	1	15	16	2
Fri Nov 29 19:02:01 2024	1732878121	0	16	16	2
Fri Nov 29 19:02:05 2024	1732878125	0	16	16	3
Fri Nov 29 19:01:56 2024	1732878116	0	16	16	4
Fri Nov 29 19:01:56 2024	1732878116	0	16	16	4
Fri Nov 29 19:01:56 2024	1732878116	0	16	16	2
Fri Nov 29 19:01:56 2024	1732878116	0	16	16	2
Fri Nov 29 19:01:56 2024	1732878116	0	16	16	3
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	2
Fri Nov 29 19:01:58 2024	1732878118	0	16	16	3
Fri Nov 29 19:02:00 2024	1732878120	0	16	16	2
Fri Nov 29 19:02:04 2024	1732878124	1	15	16	2
Fri Nov 29 19:01:57 2024	1732878117	1	15	16	2
Fri Nov 29 19:01:56 2024	1732878116	1	15	16	2
Fri Nov 29 19:02:01 2024	1732878121	0	16	16	4
Fri Nov 29 19:02:01 2024	1732878121	0	16	16	5
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	2
Fri Nov 29 19:02:06 2024	1732878126	0	16	16	2
Fri Nov 29 19:01:56 2024	1732878116	1	15	16	2
Fri Nov 29 19:02:06 2024	1732878126	0	16	16	3
Fri Nov 29 19:02:06 2024	1732878126	0	16	16	4
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	3
Fri Nov 29 19:02:00 2024	1732878120	0	16	16	5
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	4
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	3
Fri Nov 29 19:02:02 2024	1732878122	1	15	16	2
Fri Nov 29 19:01:56 2024	1732878116	0	16	16	4
Fri Nov 29 19:02:06 2024	1732878126	0	16	16	2
Fri Nov 29 19:02:00 2024	1732878120	1	15	16	4
Fri Nov 29 19:02:00 2024	1732878120	0	16	16	3
Fri Nov 29 19:02:02 2024	1732878122	1	15	16	3
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	2
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	3
Fri Nov 29 19:01:58 2024	1732878118	0	16	16	2
Fri Nov 29 19:01:58 2024	1732878118	0	16	16	2
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	3
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	4
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	3
Fri Nov 29 19:01:56 2024	1732878116	0	16	16	3
Fri Nov 29 19:01:57 2024	1732878117	1	15	16	2
Fri Nov 29 19:01:57 2024	1732878117	1	15	16	2
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	3
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	2
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	4
Fri Nov 29 19:02:01 2024	1732878121	1	15	16	3
Fri Nov 29 19:01:59 2024	1732878119	1	15	16	2
Fri Nov 29 19:02:05 2024	1732878125	0	16	16	3
Fri Nov 29 19:02:00 2024	1732878120	1	15	16	2
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	3
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	3
Fri Nov 29 19:02:06 2024	1732878126	0	16	16	2
Fri Nov 29 19:02:06 2024	1732878126	0	16	16	4
Fri Nov 29 19:02:06 2024	1732878126	0	16	16	4
Fri Nov 29 19:02:00 2024	1732878120	1	15	16	2
Fri Nov 29 19:02:00 2024	1732878120	0	16	16	3
Fri Nov 29 19:02:00 2024	1732878120	0	16	16	4
Fri Nov 29 19:02:06 2024	1732878126	0	16	16	5
Fri Nov 29 19:02:04 2024	1732878124	1	15	16	2
Fri Nov 29 19:02:06 2024	1732878126	0	16	16	5
Fri Nov 29 19:02:05 2024	1732878125	0	16	16	3
Fri Nov 29 19:01:58 2024	1732878118	0	16	16	2
Fri Nov 29 19:01:58 2024	1732878118	0	16	16	3
Fri Nov 29 19:02:05 2024	1732878125	1	15	16	3
Fri Nov 29 19:02:03 2024	1732878123	1	15	16	2
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	3
Fri Nov 29 19:01:57 2024	1732878117	1	15	16	3
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	3
Fri Nov 29 19:02:04 2024	1732878124	1	15	16	3
Fri Nov 29 19:02:04 2024	1732878124	0	16	16	2
Fri Nov 29 19:01:58 2024	1732878118	0	16	16	3
Fri Nov 29 19:01:59 2024	1732878119	0	16	16	3
Fri Nov 29 19:01:58 2024	1732878118	0	16	16	3
Fri Nov 29 19:01:58 2024	1732878118	1	15	16	2
Fri Nov 29 19:01:58 2024	1732878118	0	16	16	3
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	3
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	3
Fri Nov 29 19:01:58 2024	1732878118	0	16	16	3
Fri Nov 29 19:01:59 2024	1732878119	0	16	16	3
Fri Nov 29 19:01:59 2024	1732878119	1	15	16	2
Fri Nov 29 19:01:59 2024	1732878119	0	16	16	4
Fri Nov 29 19:02:01 2024	1732878121	1	15	16	3
Fri Nov 29 19:02:01 2024	1732878121	0	16	16	3
Fri Nov 29 19:02:06 2024	1732878126	1	15	16	3
Fri Nov 29 19:01:57 2024	1732878117	1	15	16	3
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	2
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	4
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	2
Fri Nov 29 19:02:03 2024	1732878123	0	16	16	3
Fri Nov 29 19:01:56 2024	1732878116	0	16	16	3
Fri Nov 29 19:02:06 2024	1732878126	1	15	16	3
Fri Nov 29 19:01:59 2024	1732878119	0	16	16	3
Fri Nov 29 19:01:59 2024	1732878119	1	15	16	3
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	3
Fri Nov 29 19:02:01 2024	1732878121	0	16	16	1
Fri Nov 29 19:02:01 2024	1732878121	1	15	16	3
Fri Nov 29 19:02:01 2024	1732878121	0	16	16	2
Fri Nov 29 19:01:59 2024	1732878119	1	15	16	3
Fri Nov 29 19:01:59 2024	1732878119	0	16	16	3
Fri Nov 29 19:01:59 2024	1732878119	1	15	16	3
Fri Nov 29 19:02:05 2024	1732878125	0	16	16	2
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	3
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	4
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	4
Fri Nov 29 19:02:04 2024	1732878124	1	15	16	2
Fri Nov 29 19:02:00 2024	1732878120	0	16	16	3
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	3
Fri Nov 29 19:01:59 2024	1732878119	0	16	16	2
Fri Nov 29 19:02:03 2024	1732878123	0	16	16	3
Fri Nov 29 19:01:59 2024	1732878119	1	15	16	2
Fri Nov 29 19:02:03 2024	1732878123	0	16	16	4
Fri Nov 29 19:02:03 2024	1732878123	0	16	16	3
Fri Nov 29 19:01:58 2024	1732878118	1	15	16	2
Fri Nov 29 19:02:03 2024	1732878123	1	15	16	2
Fri Nov 29 19:02:03 2024	1732878123	1	16	16	1
Fri Nov 29 19:02:05 2024	1732878125	0	16	16	2
Fri Nov 29 19:01:58 2024	1732878118	1	15	16	4
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	2
Fri Nov 29 19:01:58 2024	1732878118	0	16	16	2
Fri Nov 29 19:02:03 2024	1732878123	0	16	16	2
Fri Nov 29 19:01:59 2024	1732878119	0	16	16	3
Fri Nov 29 19:02:01 2024	1732878121	0	16	16	2
Fri Nov 29 19:02:03 2024	1732878123	1	15	16	2
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	4
Fri Nov 29 19:02:04 2024	1732878124	0	16	16	3
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	4
Fri Nov 29 19:01:59 2024	1732878119	0	16	16	3
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	3
Fri Nov 29 19:02:01 2024	1732878121	0	16	16	2
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	2
Fri Nov 29 19:02:03 2024	1732878123	1	15	16	3
Fri Nov 29 19:01:57 2024	1732878117	1	15	16	2
Fri Nov 29 19:02:03 2024	1732878123	0	16	16	5
Fri Nov 29 19:02:04 2024	1732878124	0	16	16	2
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	3
Fri Nov 29 19:01:59 2024	1732878119	1	15	16	2
Fri Nov 29 19:01:59 2024	1732878119	0	16	16	2
Fri Nov 29 19:02:04 2024	1732878124	0	16	16	3
Fri Nov 29 19:02:00 2024	1732878120	0	16	16	3
Fri Nov 29 19:02:00 2024	1732878120	0	16	16	5
Fri Nov 29 19:01:56 2024	1732878116	0	16	16	5
Fri Nov 29 19:02:00 2024	1732878120	0	16	16	3
Fri Nov 29 19:02:00 2024	1732878120	1	15	16	2
Fri Nov 29 19:01:59 2024	1732878119	1	15	16	3
Fri Nov 29 19:02:01 2024	1732878121	0	16	16	3
Fri Nov 29 19:02:01 2024	1732878121	1	15	16	3
Fri Nov 29 19:01:58 2024	1732878118	0	16	16	3
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	2
Fri Nov 29 19:02:02 2024	1732878122	1	15	16	2
Fri Nov 29 19:02:03 2024	1732878123	0	16	16	3
Fri Nov 29 19:02:03 2024	1732878123	0	16	16	4
Fri Nov 29 19:01:59 2024	1732878119	0	16	16	3
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	3
Fri Nov 29 19:02:03 2024	1732878123	0	16	16	3
Fri Nov 29 19:01:59 2024	1732878119	0	16	16	3
Fri Nov 29 19:01:59 2024	1732878119	1	15	16	3
Fri Nov 29 19:02:01 2024	1732878121	1	15	16	2
Fri Nov 29 19:02:01 2024	1732878121	0	16	16	2
Fri Nov 29 19:02:05 2024	1732878125	1	15	16	3
Fri Nov 29 19:02:05 2024	1732878125	0	16	16	2
Fri Nov 29 19:02:05 2024	1732878125	0	16	16	3
Fri Nov 29 19:01:59 2024	1732878119	1	15	16	2
Fri Nov 29 19:02:01 2024	1732878121	0	16	16	2
Fri Nov 29 19:02:03 2024	1732878123	0	16	16	3
Fri Nov 29 19:02:04 2024	1732878124	0	16	16	3
Fri Nov 29 19:02:03 2024	1732878123	0	16	16	2
Fri Nov 29 19:02:01 2024	1732878121	1	15	16	3
Fri Nov 29 19:02:03 2024	1732878123	0	16	16	3
Fri Nov 29 19:02:00 2024	1732878120	0	16	16	3
Fri Nov 29 19:01:59 2024	1732878119	1	15	16	2
Fri Nov 29 19:02:04 2024	1732878124	0	16	16	3
Fri Nov 29 19:02:03 2024	1732878123	0	16	16	2
Fri Nov 29 19:02:05 2024	1732878125	0	16	16	3
Fri Nov 29 19:02:04 2024	1732878124	1	15	16	2
Fri Nov 29 19:02:02 2024	1732878122	1	15	16	2
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	2
Fri Nov 29 19:01:59 2024	1732878119	1	15	16	4
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	3
Fri Nov 29 19:01:57 2024	1732878117	1	15	16	3
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	3
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	3
Fri Nov 29 19:02:04 2024	1732878124	1	15	16	3
Fri Nov 29 19:01:56 2024	1732878116	1	15	16	2
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	2
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	3
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	2
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	2
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	1
Fri Nov 29 19:02:04 2024	1732878124	0	16	16	2
Fri Nov 29 19:02:04 2024	1732878124	1	15	16	4
Fri Nov 29 19:02:04 2024	1732878124	1	15	16	2
Fri Nov 29 19:01:57 2024	1732878117	0	16	16	3
Fri Nov 29 19:02:06 2024	1732878126	0	16	16	4
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	4
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	2
Fri Nov 29 19:01:58 2024	1732878118	1	15	16	1
Fri Nov 29 19:02:06 2024	1732878126	0	16	16	3
Fri Nov 29 19:02:01 2024	1732878121	1	15	16	2
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	2
Fri Nov 29 19:01:58 2024	1732878118	0	16	16	2
Fri Nov 29 19:02:04 2024	1732878124	1	15	16	2
Fri Nov 29 19:02:05 2024	1732878125	0	16	16	2
Fri Nov 29 19:02:04 2024	1732878124	0	16	16	3
Fri Nov 29 19:02:00 2024	1732878120	0	16	16	2
Fri Nov 29 19:02:04 2024	1732878124	1	15	16	3
Fri Nov 29 19:01:59 2024	1732878119	0	16	16	3
Fri Nov 29 19:02:02 2024	1732878122	0	16	16	2
Fri Nov 29 19:02:04 2024	1732878124	0	16	16	3
Fri Nov 29 19:02:06 2024	1732878126	0	16	16	2
Fri Nov 29 19:02:05 2024	1732878125	0	16	16	2
